PropertyGFATotal,LargestPropertyUseTypeGFARatio,NumberofFloors,SecondLargestPropertyUseTypeGFARatio,LargestPropertyUseType,BuildingType,ThirdLargestPropertyUseTypeGFARatio,SiteEnergyUse(kBtu)
378443,0.5305501753236287,6.0,0.0,No information,NonResidential,0.0,57439532.0
109017,0.18345762587486356,5.0,0.0,Hotel,NonResidential,0.0,10018321.0
193788,0.7155861044027494,4.0,0.24531446735607984,Office,NonResidential,0.057619666852436684,16760217.0
275734,0.8383550813465152,5.0,0.16227596161517985,Office,NonResidential,0.0,19344782.0
123061,1.0,1.0,0.0,Non-Refrigerated Warehouse,NonResidential,0.0,1912690.0
59090,0.6815366390252158,1.0,0.3184633609747842,Distribution Center,NonResidential,0.0,3037572.0
106000,1.000009433962264,1.0,0.0,Non-Refrigerated Warehouse,NonResidential,0.0,1358022.0
142364,0.8835028518445674,3.0,0.23054283386249333,Office,NonResidential,0.14048495406142003,16628372.0
119661,0.9922447581083227,1.0,0.0,Distribution Center,NonResidential,0.0,624180.0
139200,0.5897844827586207,7.0,0.0,Office,NonResidential,0.0,4842910.0
